region,year,manufacturer,model,fuel,odometer,title_status,transmission,state,lat,long,price_category
charlotte,1999.0,buick,park avenue,gas,132758.0,clean,automatic,nc,35.319047,-80.778351,low
anchorage / mat-su,2009.0,ford,focus,gas,181600.0,clean,manual,ak,61.6303,-148.9872,low
maine,2012.0,toyota,camry,gas,134513.0,clean,automatic,me,42.765709,-71.235073,medium
port huron,2011.0,chevrolet,silverado 1500,gas,217885.0,clean,automatic,mi,43.1824,-84.1122,low
springfield,2018.0,lexus,gx,gas,58693.0,clean,automatic,mo,38.382623,-93.77344,high
inland empire,1998.0,ford,f150 lariat,gas,212000.0,clean,automatic,ca,33.4983,-117.0958,low
olympic peninsula,2004.0,nissan,titan,gas,193972.0,clean,automatic,wa,48.07799,-123.15959,medium
san angelo,2015.0,chevrolet,silverado 1500,gas,158855.0,clean,automatic,tx,31.453312,-100.464064,high
richmond,2006.0,toyota,corolla,gas,180000.0,clean,automatic,va,37.5921,-77.4952,low
albuquerque,2017.0,ford,explorer,gas,44000.0,clean,automatic,nm,35.120207,-106.589413,medium
dallas / fort worth,2016.0,chevrolet,colorado extended cab,gas,25700.0,rebuilt,manual,tx,32.932064,-96.745906,medium
SF bay area,2020.0,volkswagen,tiguan 2.0t s,gas,10501.0,clean,automatic,ca,37.816154,-122.264576,medium
yakima,2017.0,toyota,rav4,gas,106740.0,clean,automatic,wa,47.81247,-122.32164,medium
fort collins / north CO,2008.0,subaru,impreza,gas,155919.0,clean,automatic,co,40.599231,-105.076657,low
boise,2003.0,honda,accord,gas,240000.0,salvage,automatic,id,43.7318,-116.2797,low
st cloud,2016.0,ford,explorer,gas,67696.0,clean,automatic,mn,45.833119,-95.387931,high
inland empire,1948.0,ford,coe,gas,1.0,clean,automatic,ca,33.6801,-117.9085,high
albany,2017.0,volkswagen,jetta s,gas,88698.0,clean,manual,ny,42.691158,-73.686783,medium
nashville,2011.0,ford,super duty f-250 srw,diesel,177117.0,clean,automatic,tn,35.501561,-86.45741,high
colorado springs,2012.0,honda,civic,gas,131350.0,clean,automatic,co,39.7436,-105.0643,low
yuba-sutter,2015.0,nissan,altima 2.5 s,gas,117572.0,clean,automatic,ca,38.610767,-121.422557,medium
san luis obispo,2010.0,audi,q5,gas,165714.0,clean,automatic,ca,35.122159,-120.626169,medium
cleveland,2019.0,lexus,es 350 f sport sedan 4d,other,25381.0,clean,other,oh,41.47,-81.67,high
charlotte,1997.0,lexus,lx450,gas,197000.0,clean,automatic,nc,36.195472,-81.763467,high
prescott,2017.0,honda,pilot,gas,47675.0,clean,automatic,az,34.605818,-112.451775,low
hudson valley,1990.0,other,Diahatsu,gas,30000.0,clean,manual,ny,41.5644,-74.4304,low
ventura county,2005.0,rover,,gas,165206.0,clean,automatic,ca,34.219565,-119.001986,low
colorado springs,2017.0,toyota,sequoia,gas,61520.0,clean,automatic,co,40.624962,-103.219833,high
inland empire,2018.0,ford,f-150,gas,58849.0,clean,automatic,ca,33.7399,-117.0151,high
holland,2019.0,ram,1500 classic,gas,25291.0,clean,automatic,mi,42.449125,-85.669529,high
ocala,2016.0,honda,civic,gas,46125.0,clean,automatic,fl,28.567037,-81.291542,medium
redding,2019.0,hyundai,tucson se awd,gas,30139.0,clean,automatic,ca,40.57109,-122.360944,medium
baton rouge,2007.0,chevrolet,silverado 1500,gas,146816.0,clean,automatic,la,30.439468,-90.354738,low
central NJ,2017.0,gmc,sierra 1500,gas,49307.0,clean,automatic,nj,40.2043,-74.1779,high
fayetteville,2007.0,mazda,mazda3,gas,157884.0,clean,automatic,nc,35.0743,-78.8836,low
st cloud,2017.0,jeep,grand cherokee laredo sport,other,31315.0,clean,other,mn,45.55,-94.22,high
pittsburgh,2019.0,lincoln,nautilus reserve sport,gas,29315.0,clean,other,pa,40.43,-79.97,high
eugene,2009.0,ford,"f-150 4wd supercrew 145"" platinum",,79522.0,clean,automatic,or,44.076513,-123.150156,high
charlotte,2013.0,hyundai,elantra,gas,80435.0,clean,automatic,nc,35.057835,-80.958914,medium
tucson,2013.0,bmw,x1,gas,70110.0,clean,automatic,az,32.260949,-110.96056,medium
ames,2015.0,ford,f-150,gas,153092.0,clean,automatic,ia,42.035934,-93.864974,high
erie,2015.0,ford,fusion,gas,139619.0,clean,automatic,pa,41.412711,-80.358594,medium
las vegas,1996.0,chevrolet,camaro,gas,11953.0,clean,manual,nv,36.144406,-115.099986,low
stockton,2019.0,honda,accord sedan sport 1.5t,gas,56977.0,clean,automatic,ca,38.610767,-121.422557,high
vermont,2016.0,ford,explorer,gas,84797.0,clean,automatic,vt,42.905975,-73.218064,high
killeen / temple / ft hood,2003.0,mercedes-benz,benz s500,gas,151000.0,clean,automatic,tx,31.109,-97.67,low
chattanooga,2013.0,toyota,tacoma double cab,other,64919.0,clean,other,tn,35.06,-85.25,high
SF bay area,2014.0,acura,tsx sedan 4d,gas,75239.0,clean,other,ca,37.6,-122.45,medium
springfield,2007.0,chrysler,sebring,gas,127000.0,clean,automatic,mo,37.2593,-93.2912,low
austin,2012.0,gmc,yukon denali sport utility,other,63659.0,clean,other,tx,30.26,-97.74,high
jersey shore,2012.0,mini,cooper s,gas,113000.0,clean,automatic,nj,39.7999,-74.1994,low
kennewick-pasco-richland,2017.0,ford,f-150,gas,61000.0,clean,automatic,wa,46.256166,-119.905153,high
western KY,2015.0,buick,enclave premium sport,gas,79136.0,clean,other,ky,36.97,-86.44,high
philadelphia,2016.0,bmw,x4,gas,54117.0,clean,automatic,pa,40.81603,-73.46397,high
kenai peninsula,2001.0,toyota,sequioa,gas,55955.0,clean,automatic,ak,60.400851,-151.165223,low
wenatchee,2020.0,jeep,wrangler,gas,17799.0,clean,automatic,wa,46.9996,-120.5163,high
detroit metro,2017.0,cadillac,xts,gas,106000.0,clean,automatic,mi,42.851055,-83.45119,medium
tucson,2005.0,volvo,xc90,gas,200000.0,clean,automatic,az,32.2138,-110.824,low
bellingham,2018.0,lexus,is300 rwd gas sedan auto,gas,14402.0,clean,automatic,wa,47.839605,-122.302203,high
battle creek,2008.0,ford,f350 super duty,diesel,205033.0,rebuilt,automatic,mi,43.1824,-84.1122,medium
chautauqua,2018.0,alfa-romeo,romeo stelvio ti sport,gas,16493.0,clean,other,ny,42.25,-79.5,high
"st louis, MO",2011.0,ford,ranger sport extended cab,gas,150144.0,clean,automatic,il,38.965315,-90.958895,medium
dayton / springfield,2017.0,ford,f-150,gas,135426.0,clean,automatic,oh,40.573231,-84.184755,high
"kansas city, MO",2019.0,chevrolet,spark,gas,24110.0,clean,automatic,ks,38.382623,-93.77344,medium
louisville,2013.0,buick,enclave,gas,124034.0,clean,automatic,ky,38.159627,-85.697708,medium
rapid city / west SD,1968.0,chevrolet,camaro,gas,43320.0,clean,manual,sd,33.6372,-96.6184,high
indianapolis,2014.0,bmw,7 series 750li xdrive sedan,gas,47881.0,clean,automatic,in,39.77,-86.14,high
orange county,2011.0,chevrolet,express 3500 lt,gas,140370.0,clean,automatic,ca,33.794656,-117.992994,medium
baltimore,2018.0,audi,q7,gas,46529.0,clean,automatic,md,39.492412,-76.674443,high
grand rapids,2013.0,lexus,es,gas,109382.0,clean,,mi,43.05921,-85.68897,medium
south jersey,2012.0,jeep,wrangler,other,130174.0,clean,,nj,40.13519,-74.70357,medium
champaign urbana,2007.0,toyota,corolla le,gas,213914.0,clean,automatic,il,40.120517,-88.202963,low
show low,2004.0,mazda,tribute,gas,283466.0,clean,automatic,az,34.1175,-109.9197,low
cleveland,2012.0,ford,fusion,gas,104401.0,clean,automatic,oh,41.56995,-81.574738,low
yakima,2015.0,subaru,xv crosstrek,gas,76879.0,clean,automatic,wa,46.55319,-120.47568,medium
salem,2013.0,chevrolet,impala,gas,105843.0,clean,automatic,or,44.956447,-123.020632,low
tri-cities,2012.0,bmw,5 series,gas,62665.0,clean,automatic,tn,,,medium
mankato,2016.0,buick,enclave,gas,91200.0,clean,manual,mn,44.204103,-93.807105,medium
sarasota-bradenton,2015.0,ford,explorer,gas,99326.0,clean,automatic,fl,27.329701,-82.530265,medium
omaha / council bluffs,2010.0,mercedes-benz,c300 c-300 luxury awd,gas,90000.0,clean,automatic,ia,41.2064,-95.9953,medium
tampa bay area,2016.0,nissan,frontier crew cab,gas,161041.0,clean,automatic,fl,28.0724,-81.8122,medium
raleigh / durham / CH,2017.0,nissan,titan xd single cab sv,gas,47267.0,clean,other,nc,35.82,-78.65,high
billings,2015.0,ford,f-150 xlt 4x4,gas,68342.0,clean,automatic,mt,45.777152,-108.553946,high
san luis obispo,2002.0,chevrolet,silverado,gas,143000.0,clean,automatic,ca,35.512568,-120.699749,low
north jersey,2014.0,bmw,7 series,gas,81085.0,clean,automatic,nj,,,high
seattle-tacoma,2013.0,honda,fit fwd gas hatchback,gas,42708.0,clean,manual,wa,47.206063,-122.320587,medium
new york city,2014.0,volkswagen,cc 3.6 vr6 4motion,other,49728.0,clean,other,ny,40.64,-73.94,medium
central NJ,2019.0,ford,transit 350,gas,16000.0,rebuilt,automatic,nj,40.464,-74.2742,high
gold country,2006.0,subaru,outback 2.5i wagon,gas,213966.0,clean,automatic,ca,39.225731,-121.035396,low
pittsburgh,2017.0,ram,1500,other,134000.0,salvage,automatic,pa,40.810152,-80.425219,low
montgomery,2018.0,audi,q5 premium sport utility 4d,gas,34476.0,clean,other,al,32.35,-86.28,high
"st louis, MO",1999.0,mercedes-benz,benz,gas,173000.0,clean,automatic,il,39.1494,-89.4881,low
chico,2018.0,chevrolet,silverado lt crew cab 4x4,gas,34372.0,clean,automatic,ca,39.1237,-121.6611,high
rhode island,2012.0,ford,explorer,gas,137335.0,clean,automatic,ri,41.668966,-70.269642,medium
knoxville,2016.0,ram,2500,gas,121398.0,clean,automatic,tn,35.534152,-82.432096,high
fargo / moorhead,2017.0,volkswagen,passat,gas,110971.0,clean,automatic,mn,45.832625,-95.38918,medium
tulsa,2008.0,nissan,350z,gas,140000.0,clean,automatic,ok,36.021714,-95.929527,medium
south bend / michiana,2017.0,ford,focus titanium sedan 4d,other,37190.0,clean,automatic,in,41.67,-86.26,medium
detroit metro,2016.0,kia,optima,gas,62680.0,clean,automatic,mi,42.418751,-83.078743,low
harrisburg,2016.0,ford,f350 super duty,diesel,74000.0,clean,automatic,pa,40.0514,-77.5195,high
chicago,2006.0,jeep,,gas,132000.0,clean,automatic,il,41.618957,-87.726334,low
albuquerque,2019.0,toyota,camry xse,gas,17800.0,clean,automatic,nm,35.2493,-106.6818,high
sioux falls / SE SD,2014.0,ford,f550 xl,diesel,156000.0,clean,automatic,sd,42.117274,-88.436783,high
duluth / superior,1983.0,chevrolet,c10 short box,gas,0.0,clean,automatic,mn,47.3944,-93.2462,low
boise,1994.0,ford,f150,gas,233659.0,clean,manual,id,43.6322,-116.2052,low
spokane / coeur d'alene,2009.0,ford,expedition el,gas,185356.0,clean,automatic,id,47.961365,-117.403505,low
kalispell,2003.0,chevrolet,silverado,gas,200000.0,clean,automatic,mt,48.2028,-114.3039,medium
redding,2008.0,honda,accord,gas,114563.0,clean,automatic,ca,38.608824,-121.400837,low
twin falls,2014.0,nissan,pathfinder,gas,185950.0,clean,automatic,id,43.6403,-116.26346,medium
worcester / central MA,2007.0,gmc,,gas,190000.0,clean,automatic,ma,42.5796,-71.8031,low
stockton,2017.0,honda,pilot touring sport,other,25196.0,clean,other,ca,33.7865,-84.4454,high
fresno / madera,2015.0,dodge,challenger,gas,61269.0,clean,automatic,ca,38.597771,-121.403061,high
columbus,2015.0,chrysler,200,gas,47720.0,clean,automatic,oh,40.064137,-82.998073,medium
lima / findlay,2013.0,ford,taurus,gas,115162.0,clean,automatic,oh,40.573231,-84.184755,medium
hawaii,2015.0,rover,evoque,gas,26600.0,clean,automatic,hi,21.37842,-158.02241,high
charlotte,2017.0,fiat,500 abarth hatchback 2d,gas,6054.0,clean,other,nc,35.19,-80.83,medium
fort collins / north CO,2017.0,bmw,x3 xdrive28i sport utility,other,23631.0,clean,other,co,40.55,-105.06,high
worcester / central MA,2015.0,mazda,mazda3 i sv sedan 4d,gas,51321.0,clean,other,ma,42.26,-71.8,medium
san luis obispo,2007.0,gmc,arcadia 4x4,gas,128000.0,clean,automatic,ca,35.2901,-120.6817,low
charlotte,2014.0,honda,cr-v,gas,99068.0,clean,automatic,nc,35.20869,-80.66924,medium
oklahoma city,2020.0,cadillac,xt6,gas,7025.0,clean,automatic,ok,35.551157,-97.514117,high
jacksonville,2012.0,volkswagen,jetta sportwagen,diesel,41267.0,clean,automatic,fl,30.348,-81.5882,medium
tampa bay area,2004.0,honda,civic,gas,79000.0,clean,automatic,fl,28.01956,-82.394371,low
binghamton,2016.0,hyundai,sante fe,gas,79000.0,clean,automatic,ny,42.1138,-76.2528,medium
nashville,2012.0,volkswagen,cc,gas,146947.0,clean,manual,tn,35.98563,-86.521646,medium
greensboro,2017.0,ram,3500 slt,diesel,104974.0,clean,automatic,nc,36.2245,-79.8901,high
denver,2015.0,nissan,rogue select s sport,gas,63911.0,clean,other,co,39.76,-104.87,medium
delaware,2011.0,honda,civic,gas,86426.0,clean,manual,de,40.090868,-75.137709,low
modesto,1969.0,chevrolet,c10,gas,150000.0,clean,manual,ca,37.6237,-121.0438,low
ft myers / SW florida,2015.0,toyota,camry,gas,48677.0,clean,automatic,fl,26.571661,-81.877633,medium
appleton-oshkosh-FDL,2008.0,nissan,versa s,gas,76000.0,clean,manual,wi,43.6864,-88.5569,low
los angeles,2008.0,ford,e150 econoline,gas,144000.0,salvage,automatic,ca,34.3054,-118.4322,low
wenatchee,2019.0,chevrolet,lifted silverado 3500,diesel,29723.0,clean,automatic,wa,46.234838,-119.128015,high
seattle-tacoma,2013.0,chevrolet,equinox lt,gas,104130.0,clean,automatic,wa,47.9085,-122.24,medium
cincinnati,2014.0,ford,explorer xlt,gas,94000.0,clean,automatic,oh,39.115384,-84.273376,medium
fayetteville,2015.0,gmc,yukon xl,gas,145000.0,clean,automatic,ar,36.115066,-94.048911,high
rockford,2018.0,hyundai,sonata se sedan 4d,gas,24163.0,clean,other,il,42.27,-89.06,medium
columbia / jeff city,2016.0,kia,soul,gas,94179.0,clean,automatic,mo,38.7023,-90.3644,medium
lancaster,2009.0,toyota,corolla s,gas,110675.0,clean,automatic,pa,39.916208,-76.041434,low
indianapolis,2014.0,buick,regal turbo,gas,143543.0,clean,automatic,in,39.684528,-86.133349,medium
san antonio,2016.0,other,Scion iM Hatchback 4D,gas,34439.0,clean,other,tx,29.45,-98.5,medium
orlando,2006.0,buick,lucerne,gas,121338.0,clean,automatic,fl,28.4964,-81.5352,low
hartford,2018.0,toyota,rav4 hybrid limited sport,gas,14520.0,clean,other,ct,41.76,-72.68,high
kennewick-pasco-richland,2004.0,ford,super duty f-350 srw,diesel,89970.0,clean,automatic,wa,45.876983,-119.293925,medium
charlottesville,2017.0,ford,f250 super duty,diesel,73000.0,clean,automatic,va,38.494714,-77.99258,high
orange county,2013.0,ram,1500 tradesman quad cab,gas,145499.0,,automatic,ca,33.873436,-117.542806,medium
inland empire,2008.0,honda,odyssey,gas,166000.0,clean,automatic,ca,33.9208,-117.6096,low
ithaca,2015.0,volvo,s60 t5 premier sedan 4d,other,37238.0,clean,other,ny,42.44,-76.5,medium
ventura county,1999.0,gmc,yukon slt,gas,195000.0,clean,automatic,ca,34.245358,-118.421508,low
memphis,2019.0,ford,transit 250,gas,29497.0,clean,automatic,tn,36.4641,-86.65828,high
elko,2011.0,chevrolet,cruze lt turbo,gas,74321.0,clean,automatic,nv,40.746795,-111.939783,low
indianapolis,2008.0,lincoln,mkx,gas,143357.0,clean,automatic,in,39.792954,-86.06479,medium
clarksville,2015.0,toyota,sienna,gas,68456.0,clean,automatic,tn,36.5853,-87.4186,high
dayton / springfield,1973.0,porsche,914,gas,1000.0,clean,manual,oh,39.6062,-84.1695,low
eugene,2016.0,ford,transit connect cargo xlt 4,gas,168392.0,clean,automatic,or,44.629638,-123.055986,medium
lincoln,2020.0,chevrolet,equinox,gas,19000.0,rebuilt,automatic,ne,40.7934,-96.7479,medium
orlando,2005.0,chrysler,300c v6,gas,155000.0,clean,automatic,fl,28.3672,-80.7465,low
denver,2018.0,subaru,crosstrek,gas,47423.0,clean,automatic,co,39.675653,-105.007014,medium
gainesville,2012.0,ram,,gas,121371.0,clean,automatic,fl,28.329026,-81.404237,medium
monterey bay,2005.0,other,Voltswagon Beetle,gas,112432.0,clean,automatic,ca,36.6677,-121.6596,low
jacksonville,2005.0,nissan,titan,gas,188208.0,clean,automatic,fl,30.318329,-81.730757,low
south florida,2017.0,hyundai,sonata se,gas,39268.0,rebuilt,automatic,fl,25.9894,-80.2153,low
denver,2013.0,audi,a6,gas,81640.0,clean,automatic,co,39.580309,-104.954917,medium
lehigh valley,2014.0,gmc,sierra 1500 double cab slt,gas,41376.0,clean,other,pa,40.68,-75.22,high
kennewick-pasco-richland,2014.0,volkswagen,jetta sportwagen,diesel,52000.0,rebuilt,automatic,wa,46.209373,-119.133589,medium
indianapolis,2011.0,bmw,550i,gas,95000.0,clean,automatic,in,39.6224,-86.149,medium
central NJ,2010.0,rover,sport,gas,106437.0,clean,automatic,nj,40.2377,-74.7821,medium
lancaster,2003.0,chrysler,town and country,gas,140000.0,clean,automatic,pa,40.075998,-76.071244,low
baltimore,2007.0,mazda,mazda6,gas,143785.0,clean,automatic,md,39.433086,-76.343119,low
wenatchee,2016.0,dodge,challenger srt 392 rwd gas,gas,21671.0,clean,automatic,wa,47.841211,-122.297249,high
"kansas city, MO",2015.0,kia,sorento lx,gas,123340.0,clean,automatic,ks,38.912,-94.3517,medium
south florida,1999.0,ford,explorer xlt,gas,162472.0,clean,automatic,fl,26.260758,-80.117966,low
chicago,2018.0,chevrolet,malibu ls - one owner,gas,35849.0,clean,automatic,il,41.720546,-87.736499,medium
wilmington,1977.0,jeep,wrangler cj5,gas,38000.0,clean,manual,nc,34.2237,-77.8862,medium
yuba-sutter,2016.0,chevrolet,colorado,gas,113108.0,clean,automatic,ca,38.608824,-121.400837,medium
nashville,2007.0,other,THOMAS SCHOOL BUS,diesel,147971.0,clean,automatic,tn,36.4229,-86.7914,low
macon / warner robins,2008.0,mercedes-benz,c-class,gas,99883.0,clean,automatic,ga,34.139588,-83.971135,medium
kalispell,1971.0,volkswagen,super beetle,gas,67000.0,clean,manual,mt,47.733,-114.263,medium
south florida,2013.0,fiat,500 sport ruby,gas,85000.0,clean,manual,fl,26.2674,-80.2092,medium
new hampshire,2016.0,chevrolet,silverado 1500,gas,68000.0,clean,automatic,nh,42.690284,-71.43332,high
treasure coast,2017.0,ford,f-150 xlt,gas,42420.0,clean,automatic,fl,26.7165,-80.0679,high
akron / canton,2009.0,jeep,patriot,other,162323.0,clean,automatic,oh,41.041256,-81.607193,low
lewiston / clarkston,2014.0,toyota,fj cruiser,gas,122166.0,clean,automatic,id,47.692931,-117.411632,high
yuba-sutter,2008.0,chevrolet,trailblazer lt w/1lt,gas,167785.0,clean,automatic,ca,39.123441,-121.61144,low
appleton-oshkosh-FDL,2013.0,ford,c-max hybrid se wagon 4d,gas,76279.0,clean,other,wi,44.26,-88.39,medium
mobile,2019.0,nissan,370z nismo coupe 2d,gas,8373.0,clean,other,al,33.779214,-84.411811,high
topeka,2016.0,mazda,mx-5 miata,gas,12525.0,clean,automatic,ks,38.990868,-95.233358,high
rochester,2008.0,chevrolet,malibu,gas,130000.0,clean,other,ny,43.1735,-77.6499,low
albany,2012.0,mercedes-benz,sl-class sl 550,gas,38955.0,clean,other,ny,42.66,-73.79,high
philadelphia,2000.0,ford,e250 extended,gas,73612.0,clean,automatic,pa,40.1166,-75.0198,low
holland,2016.0,mazda,mx-5 miata grand touring,gas,7512.0,clean,other,mi,42.77,-86.1,high
orange county,2003.0,mercedes-benz,benz e500,gas,82000.0,clean,automatic,ca,33.5429,-117.7813,low
ocala,2015.0,ford,f-250,other,123193.0,clean,automatic,fl,29.23086,-82.14915,high
delaware,2008.0,chevrolet,cc4500,gas,100921.0,clean,automatic,de,40.468785,-74.281707,high
greenville / upstate,2009.0,bmw,328i,gas,147000.0,clean,automatic,sc,34.942483,-82.239363,low
tulsa,2013.0,mercedes-benz,m class,gas,96000.0,clean,automatic,ok,36.264054,-95.847559,medium
"kansas city, MO",2019.0,honda,accord,gas,20721.0,clean,automatic,ks,39.0417,-94.7202,medium
oklahoma city,2016.0,ford,explorer,gas,111522.0,clean,automatic,ok,35.435501,-97.518547,medium
bakersfield,2016.0,lexus,nx,gas,95674.0,clean,automatic,ca,36.837679,-119.809638,high
dallas / fort worth,2015.0,honda,civic,gas,108753.0,clean,automatic,tx,32.56105,-97.32079,medium
kalamazoo,2012.0,ford,escape,gas,160781.0,clean,automatic,mi,42.477134,-82.949564,low
ocala,2014.0,ram,1500,gas,130132.0,clean,automatic,fl,28.763821,-81.282651,high
richmond,1995.0,other,Emergency One Fire Truck,diesel,91659.0,clean,automatic,va,37.1952,-78.1961,medium
ocala,2019.0,toyota,sienna xle,gas,3700.0,,automatic,fl,27.84976,-82.36495,high
vermont,2014.0,ford,f350 super duty,other,101000.0,clean,automatic,vt,44.457607,-73.145514,medium
bakersfield,2013.0,chevrolet,corvette grand sport,other,79156.0,clean,other,ca,35.38,-119.02,high
eastern NC,2014.0,rover,evoque,gas,67000.0,clean,automatic,nc,35.590431,-77.014881,medium
modesto,2012.0,jeep,liberty suv,gas,46534.0,clean,automatic,ca,37.765104,-120.850714,medium
terre haute,2003.0,pontiac,vibe gt,gas,132500.0,clean,manual,in,39.492036,-87.40712,low
reading,2007.0,ram,,diesel,220019.0,clean,automatic,pa,40.894535,-74.152367,medium
eastern CT,2018.0,ford,mustang gt coupe 2d,gas,27726.0,clean,other,ct,33.779214,-84.411811,high
grand island,2017.0,ford,edge,gas,45717.0,clean,automatic,ne,41.438366,-97.316899,medium
cleveland,2013.0,hyundai,sonata,gas,84300.0,salvage,automatic,oh,41.417142,-81.811809,low
redding,2013.0,tesla,model s sedan 4d,electric,59613.0,clean,other,ca,33.779214,-84.411811,high
long island,2006.0,other,chysler 300,gas,65000.0,clean,automatic,ny,40.9492,-72.9357,low
grand rapids,2013.0,ford,focus,gas,145050.0,clean,automatic,mi,42.982244,-85.698696,low
toledo,2013.0,chevrolet,express passenger,gas,66832.0,clean,automatic,oh,41.60201,-83.786937,high
central NJ,2016.0,chevrolet,,other,2522.0,clean,automatic,nj,44.927304,-123.030322,high
sacramento,2002.0,toyota,tacoma,gas,244000.0,clean,automatic,ca,38.568107,-121.412279,low
indianapolis,2018.0,audi,s5 premium plus sedan 4d,gas,40118.0,clean,automatic,in,39.77,-86.14,high
fayetteville,2020.0,ford,mustang gt coupe 2d,other,2516.0,clean,other,nc,35.05,-78.87,high
york,2007.0,subaru,legacy,gas,190000.0,clean,automatic,pa,40.052118,-76.766933,low
fort wayne,2017.0,ford,transit 150 cargo van,gas,39665.0,clean,automatic,in,41.0975,-81.426,high
milwaukee,2018.0,honda,accord,gas,32000.0,clean,automatic,wi,44.4975,-88.0324,medium
tulsa,2019.0,ram,1500 lone star,gas,64467.0,clean,automatic,ok,37.1597,-94.3112,high
sacramento,2017.0,bmw,7 series,gas,33992.0,clean,automatic,ca,38.637299,-121.320559,high
charlottesville,2007.0,honda,accord lx,gas,174000.0,clean,automatic,va,38.0936,-78.5611,low
knoxville,2015.0,jeep,wrangler unlimited sahara,gas,91626.0,clean,automatic,tn,35.766026,-83.972154,high
